|-9x + 115| = 2
|2x + 45| = 49
|11x - 87| = 21
|-17x + 101| = 18
|6x + 64| = 40
|16x - 87| = 39
|19x - 32| = 13
|-9x - 91| = 44
|20x - 60| = 20
|-9x + 194| = 50
|-19x + 262| = 15
|-3x - 60| = 33
|-18x + 316| = 44
|14x - 50| = 34
|-9x + 102| = 6
|-12x + 48| = 12
|-7x + 137| = 3
|18x - 116| = 28
|-7x - 30| = 37
|-6x - 9| = 27
|-14x + 1| = 15
|2x + 35| = 3
|-19x + 170| = 18
|6x - 42| = 12
|-18x + 388| = 28
|5x + 76| = 9
|-10x + 154| = 26
|-15x - 99| = 9
|2x - 55| = 27
|-13x + 155| = 12
|14x - 129| = 31
|-9x - 102| = 33
|-5x - 108| = 48
|14x - 88| = 18
|-18x + 251| = 37
|-19x + 230| = 2
|10x - 107| = 47
|-19x - 60| = 3
|-7x + 142| = 44
|-16x + 277| = 27
|11x + 46| = 24
|10x + 41| = 1
|-3x - 18| = 15
|18x - 136| = 28
|19x + 268| = 17
|-13x - 205| = 49
|-5x + 5| = 25
|15x - 185| = 25
|-3x - 104| = 44
|-8x + 35| = 35
|16x - 149| = 43
|8x - 171| = 19
|6x - 40| = 4
|18x + 44| = 44
|-3x + 65| = 20
|-3x - 52| = 4
|-16x + 172| = 28
|-4x - 25| = 25
|-3x - 50| = 11
|-13x + 89| = 24
|-12x + 14| = 34
|4x - 22| = 14
|-4x - 39| = 37
|2x - 1| = 25
|-2x + 28| = 6
|5x - 23| = 7
|4x - 62| = 14
|19x + 261| = 24
|-20x - 252| = 28
|6x + 120| = 12
|1x + 25| = 7
|5x + 4| = 16
|12x - 31| = 19
|-10x - 16| = 24
|2x + 29| = 15
|14x - 184| = 40
|12x - 256| = 16
|3x - 30| = 3
|-3x - 3| = 36
|1x - 7| = 2
|-8x - 49| = 41
|7x - 75| = 23
|-12x - 253| = 25
|-10x - 147| = 23
|-14x + 137| = 39
|-12x - 197| = 43
|10x - 174| = 16
|11x + 26| = 4
|-17x + 259| = 21
|-4x - 46| = 50
|18x - 47| = 47
|-5x - 67| = 33
|14x - 102| = 24
|-10x + 32| = 42
|9x - 142| = 16
|-9x + 184| = 13
|-9x - 51| = 6
|-19x - 3| = 22
|-16x + 205| = 13
|-12x - 71| = 23
|-20x - 288| = 8
|7x + 87| = 38
|4x - 30| = 22
|2x - 21| = 41
|18x - 13| = 41
|-5x + 14| = 41
|-10x + 71| = 21
|8x + 142| = 30
|-2x - 1| = 25
|9x - 9| = 45
|-13x + 67| = 37
|-8x + 133| = 3
|-11x - 60| = 16
|-1x + 6| = 10
|-4x - 60| = 16
|4x + 21| = 25
|-14x - 228| = 38
|9x - 111| = 12
|9x - 160| = 34
|-9x + 180| = 18
|14x + 151| = 31
|-11x + 152| = 13
|-18x - 254| = 20
|-13x - 231| = 29
|16x - 271| = 49
|-13x - 124| = 45
|10x + 84| = 46
|-4x - 3| = 13
|1x + 46| = 31
|-2x + 80| = 44
|-19x + 318| = 33
|8x + 67| = 45
|15x + 297| = 27
|-14x + 84| = 42
|-4x - 78| = 38
|-4x - 114| = 50
|11x + 10| = 34
|3x - 26| = 44
|-7x + 7| = 0
|-1x - 15| = 5
|-8x - 38| = 42
|6x - 20| = 38
|20x - 166| = 46
|14x - 183| = 43
|19x - 211| = 21
|18x + 373| = 13
|-18x - 312| = 30
|-3x + 46| = 40
|-19x + 57| = 38
|-6x - 5| = 23
|9x + 118| = 44
|19x - 232| = 4
|-1x + 23| = 10
|10x - 100| = 30
|10x - 100| = 40
|12x + 181| = 47
|-4x - 75| = 1
|20x + 307| = 47
|-17x - 318| = 46
|-14x + 135| = 5
|-15x - 246| = 36
|13x - 35| = 35
|-15x + 117| = 3
|-20x + 150| = 10
|4x - 51| = 29
|4x - 18| = 30
|-8x - 128| = 24
|16x + 100| = 36
|-19x + 299| = 5
|-3x - 65| = 32
|9x + 42| = 3
|7x - 161| = 49
|-17x - 114| = 12
|-20x - 396| = 16
|4x + 94| = 46
|2x + 56| = 16
|-4x - 121| = 45
|-16x - 272| = 0
|7x - 154| = 35
|13x - 223| = 15
|-10x - 110| = 0
|12x + 251| = 23
|-6x - 97| = 5
|-13x - 172| = 36
|-6x + 76| = 22
|-7x - 55| = 34
|12x - 140| = 16
|7x + 71| = 36
|16x - 151| = 41
|16x + 33| = 31
|18x + 32| = 4
|-6x + 0| = 6
|-19x - 102| = 45
|-10x + 144| = 44
|-19x + 414| = 34
|-9x + 150| = 42
|10x - 40| = 50
|16x - 189| = 3
|-15x + 74| = 44
|-18x + 243| = 9
|-5x + 85| = 5
|-2x + 42| = 34
|-10x + 34| = 44
|6x - 14| = 16
|-10x - 68| = 2
|16x - 226| = 2
|17x + 252| = 14
|-14x - 149| = 23
|-15x - 93| = 48
|7x + 28| = 14
|20x - 302| = 22
|20x + 221| = 1
|19x + 208| = 39
|9x + 134| = 26
|-19x + 15| = 4
|-3x - 16| = 2
|-12x + 236| = 44
|19x + 151| = 39
|10x - 39| = 49
|1x - 48| = 39
|-9x + 26| = 8
|-12x + 8| = 8
|-11x + 58| = 25
|1x - 50| = 41
|7x - 126| = 0
|-18x - 221| = 49
|-8x + 47| = 39
|16x + 102| = 26
|8x + 141| = 19
|-11x + 176| = 22
|4x + 4| = 24
|11x - 69| = 8
|20x + 82| = 38
|4x + 6| = 42
|-8x + 129| = 17
|3x - 2| = 25
|-8x - 132| = 4
|8x - 2| = 26
|17x + 299| = 24
|-4x - 25| = 17
|-11x + 78| = 45
|9x - 39| = 42
|10x + 211| = 31
|15x + 94| = 34
|-19x - 191| = 37
|19x - 51| = 25
|-5x + 16| = 49
|-10x - 141| = 21
|9x + 119| = 25
|-18x + 207| = 45
|-14x + 42| = 28
|-3x - 32| = 23
|-19x - 72| = 42
|-15x - 268| = 17
|-13x - 66| = 38
|-13x - 2| = 24
|-12x + 164| = 20
|17x + 125| = 11
|-13x + 191| = 35
|-2x + 73| = 47
|-8x - 145| = 1
|-11x + 161| = 15
|-12x - 164| = 16
|7x - 160| = 20
|4x + 27| = 13
|-4x - 72| = 4
|19x - 84| = 30
|20x + 310| = 10
|-15x + 74| = 31
|-2x + 7| = 41
|12x - 156| = 0
|-18x + 380| = 20
|6x + 47| = 43
|-1x - 43| = 39
|16x + 247| = 7
|12x + 7| = 41
|-3x - 13| = 4
|14x + 82| = 30
|-11x - 49| = 50
|-9x - 118| = 44
|19x - 160| = 46
|13x - 137| = 20
|-10x + 142| = 38
|19x + 341| = 20
|17x + 331| = 42
|-8x - 10| = 34
|12x + 133| = 49
|1x - 22| = 26
|17x - 132| = 38
|1x - 48| = 39
|-10x - 227| = 37
|-1x + 34| = 42
|-15x + 216| = 39
|5x + 68| = 23
|5x - 62| = 12
|-20x + 223| = 17
|16x - 67| = 19
|8x - 92| = 44
|-17x + 242| = 30
|-18x + 244| = 26
|-19x + 133| = 19
|-17x + 33| = 18
|11x - 176| = 44
|-1x + 53| = 47
|-10x - 72| = 28
|9x + 143| = 28
|-16x - 295| = 7
|8x + 88| = 0
|-12x + 25| = 23
|4x + 24| = 12
|-6x + 54| = 36
|-16x - 338| = 50
|-10x - 30| = 10
|-17x - 324| = 1
|3x - 33| = 15
|-15x - 333| = 48
|-7x - 152| = 12
|12x + 224| = 44
|18x - 151| = 47
|-7x - 76| = 48
|-16x - 108| = 12
|-4x - 61| = 11
|-16x + 169| = 23
|-3x - 29| = 25
|-12x + 200| = 44
|-15x - 185| = 35
|11x - 104| = 5
|9x - 18| = 0
|-14x - 61| = 5
|-3x - 29| = 26
|-9x + 41| = 41
|3x - 94| = 43
|18x - 206| = 26
|-15x + 48| = 12
|1x + 51| = 36
|-3x - 8| = 44
|13x + 99| = 5
|-12x + 157| = 47
|7x - 162| = 36
|17x - 103| = 1
|16x + 179| = 29
|20x - 248| = 8
|19x - 307| = 3
|-4x - 65| = 41
|-11x - 102| = 47
|-9x + 133| = 29
|-5x + 48| = 47
|18x + 328| = 40
|18x + 242| = 10
|12x + 123| = 45
|-9x + 201| = 30
|19x - 260| = 32
|4x - 90| = 50
|-12x + 146| = 22
|-16x + 294| = 22
|14x - 293| = 27
|15x + 75| = 0
|2x - 22| = 12
|-9x - 155| = 20
|-9x - 151| = 7
|-1x + 63| = 43
|6x + 24| = 18
|17x - 107| = 29
|10x - 151| = 49
|20x + 298| = 18
|2x - 24| = 12
|-7x + 18| = 32
|-11x + 188| = 45
|18x - 165| = 33
|-19x + 166| = 5
|10x - 60| = 0
|1x + 68| = 50
|-2x + 27| = 45
|-16x + 68| = 20
|9x - 49| = 13
|7x - 74| = 46
|20x - 58| = 42
|13x + 109| = 47
|-5x + 22| = 23
|12x + 172| = 28
|9x + 21| = 48
|-14x - 10| = 10
|-12x - 54| = 42
|3x - 17| = 22
|-12x + 97| = 49
|-3x - 10| = 7
|5x - 65| = 5
|-8x + 178| = 42
|-17x - 104| = 19
|-15x + 250| = 50
|-20x + 3| = 37
|-1x - 19| = 18
|18x - 21| = 21
|-20x - 153| = 33
|-5x - 79| = 9
|-13x - 226| = 31
|-16x - 159| = 1
|-5x - 135| = 50
|6x - 107| = 29
|13x + 169| = 13
|-19x - 328| = 43
|-6x - 108| = 12
|-8x - 86| = 14
|-16x + 34| = 2
|2x - 9| = 43
|-5x - 27| = 12
|-2x + 21| = 11
|-10x - 141| = 31
|-10x + 176| = 16
|-17x + 261| = 11
|12x - 197| = 43
|14x + 145| = 47
|-4x + 25| = 19
|5x + 74| = 21
|-5x + 31| = 36
|-5x - 57| = 2
|4x + 51| = 13
|-12x - 244| = 28
|8x - 101| = 35
|-1x + 23| = 23
|4x + 40| = 12
|-15x + 213| = 18
|-13x + 294| = 47
|13x - 134| = 35
|10x - 35| = 35
|11x - 108| = 46
|13x + 81| = 29
|7x - 79| = 9
|-4x + 12| = 12
|10x - 154| = 4
|-6x + 126| = 24
|-4x + 11| = 31
|-12x - 114| = 18
|-7x - 65| = 19
|-8x - 53| = 19
|-12x - 219| = 21
|-9x + 158| = 41
|13x - 15| = 37
|-13x + 197| = 11
|-16x + 13| = 13
|-11x + 70| = 15
|8x + 69| = 43
|-18x - 278| = 8
|-19x - 150| = 21
|-2x + 51| = 31
|-13x - 165| = 30
|17x + 326| = 14
|15x + 298| = 28
|-4x + 49| = 29
|17x - 164| = 23
|12x - 121| = 13
|-13x - 46| = 46
|8x - 22| = 26
|5x + 31| = 6
|20x - 95| = 25
|-18x - 378| = 18
|9x - 86| = 31
|-13x + 83| = 44
|15x - 86| = 4
|-7x - 162| = 29
|-18x + 249| = 33
|-17x - 322| = 18
|-7x + 103| = 33
|-13x + 253| = 45
|-16x + 284| = 20
|-19x - 296| = 46
|11x + 94| = 27
|-12x - 50| = 26
|-15x + 110| = 35
|-20x - 28| = 12
|12x + 48| = 48
|-15x - 138| = 33
|14x - 222| = 30
|-7x - 126| = 49
|-11x + 47| = 3
|3x - 45| = 9
|-17x + 314| = 25
|-10x + 95| = 35
|8x + 74| = 26
|16x - 137| = 7
|3x - 22| = 14
|6x + 111| = 3
|9x - 176| = 23
|-13x - 186| = 43
|-7x + 38| = 39
|10x + 134| = 36
|-8x - 78| = 42
|-18x + 40| = 40
|1x + 37| = 17
|10x + 228| = 38
|12x + 84| = 0
|-13x + 137| = 46
|14x + 156| = 44
|2x - 21| = 41
|16x + 194| = 50
|3x + 49| = 40
|13x + 45| = 19
|9x + 196| = 25
|-12x + 161| = 31
|-13x - 96| = 21
|-19x - 378| = 17
|8x + 100| = 36
|-4x - 93| = 45
|-1x - 40| = 22
|16x - 2| = 46
|9x - 7| = 7
|-13x + 91| = 0
|16x + 144| = 48
|-1x - 28| = 13
|14x - 111| = 27
|-19x + 118| = 15
|13x - 152| = 4
|14x + 182| = 14
|10x - 89| = 39
|11x - 157| = 19
|-13x + 186| = 17
|-16x - 67| = 35
|16x + 84| = 4
|-19x - 172| = 39
|-3x + 8| = 29
|-1x + 27| = 32
|-11x - 152| = 42
|15x + 139| = 4
|18x + 91| = 1
|14x + 99| = 27
|10x - 7| = 7
|10x - 165| = 5
|-9x - 53| = 8
|-8x + 19| = 43
|-1x + 44| = 38
|-19x - 190| = 0
|-5x - 58| = 42
|-11x + 5| = 17
|19x + 271| = 14
|12x - 12| = 36
|18x + 333| = 45
|-19x + 373| = 31
|5x + 22| = 33
|17x + 244| = 40
|-16x + 105| = 23
|-7x - 58| = 33
|-4x - 30| = 2
|-3x + 48| = 18
|5x + 69| = 31
|-6x - 36| = 6
|-12x - 104| = 32
|10x - 109| = 31
|-10x + 177| = 37
|-16x - 8| = 40
|-15x + 236| = 4
|-11x + 16| = 39
|9x + 51| = 42
|-10x - 114| = 4
|9x - 107| = 1
|-1x - 39| = 24
|5x - 78| = 3
|-15x + 198| = 42
|9x - 57| = 21
|7x + 111| = 20
|14x - 226| = 16
|-11x + 34| = 12
|17x - 144| = 43
|-19x - 158| = 44
|-9x + 15| = 6
|-14x + 128| = 44
|20x + 231| = 31
|-3x + 3| = 9
|4x - 1| = 39
|-8x - 26| = 26
|13x + 203| = 47
|7x - 91| = 49
|18x + 131| = 5
|-18x + 89| = 1
|-10x + 133| = 7
|-19x - 23| = 4
|9x + 204| = 42
|17x - 152| = 18
|-8x + 56| = 48
|-8x + 37| = 37
|16x + 177| = 33
|-2x - 33| = 11
|-6x + 15| = 3
|-13x + 153| = 23
|6x - 85| = 17
|-3x - 3| = 18
|18x - 129| = 21
|17x - 307| = 35
|-11x - 210| = 10
|-17x + 66| = 15
|-17x + 220| = 1
|-5x - 6| = 14
|-15x - 71| = 34
|-17x - 131| = 22
|-17x + 238| = 17
|-9x + 111| = 48
|-16x + 33| = 15
|12x - 203| = 35
|20x - 237| = 3
|18x + 115| = 11
|-2x + 12| = 22
|-17x + 259| = 38
|3x + 18| = 42
|5x - 35| = 0
|-5x - 81| = 11
|13x - 124| = 45
|-4x - 3| = 15
|-4x - 37| = 49
|-19x - 88| = 7
|3x - 65| = 14
|17x - 313| = 24
|-5x + 116| = 31
|-19x - 78| = 40
|-9x - 120| = 15
|-10x - 32| = 2
|1x + 5| = 4
|2x - 16| = 40
|13x - 211| = 36
|8x - 180| = 20
|3x - 26| = 13
|19x - 276| = 28
|3x + 1| = 2
|2x + 52| = 30
|2x - 9| = 9
|18x + 161| = 35
|19x - 385| = 5
|14x - 58| = 12
|18x - 281| = 43
|-7x - 67| = 3
|13x + 20| = 32
|2x - 31| = 3
|8x - 10| = 2
|-9x - 124| = 29
|-18x + 237| = 39
|12x + 81| = 27
|-1x - 14| = 2
|10x + 104| = 16
|-7x - 81| = 31
|-16x - 181| = 27
|11x + 34| = 12
|5x + 101| = 1
|-3x - 32| = 10
|-9x + 131| = 31
|9x - 153| = 45
|11x - 90| = 9
|-9x - 77| = 49
|-4x - 93| = 21
|-11x - 59| = 48
|7x - 29| = 20
|14x + 40| = 30
|-13x + 83| = 34
|-14x + 66| = 38
|-3x + 41| = 17
|-4x - 108| = 40
|-13x - 74| = 4
|9x + 102| = 39
|-13x + 60| = 44
|15x - 2| = 28
|-9x - 66| = 6
|13x - 99| = 47
|-6x - 62| = 16
|20x - 329| = 31
|-18x - 308| = 2
|18x + 96| = 30
|-3x + 92| = 38
|-20x - 312| = 12
|-15x + 11| = 19
|-10x - 113| = 47
|-1x + 3| = 3
|10x + 20| = 10
|10x - 47| = 33
|14x + 179| = 45
|-10x - 71| = 29
|-1x + 15| = 17
|7x + 54| = 5
|18x + 125| = 19
|15x - 66| = 9
|-5x + 108| = 43
|5x - 88| = 7
|3x + 13| = 43
|19x - 143| = 10
|-18x + 4| = 4
|-13x + 175| = 33
|15x - 31| = 46
|-2x - 34| = 24
|2x - 5| = 41
|4x + 118| = 38
|-9x + 169| = 16
|-4x - 41| = 33
|5x - 111| = 11
|-19x - 109| = 24
|10x - 57| = 17
|-11x - 64| = 9
|11x - 49| = 38
|-13x - 62| = 42
|2x + 73| = 45
|1x + 39| = 50
|-9x - 61| = 47
|-18x - 198| = 36
|13x - 205| = 16
|-6x + 110| = 44
|5x + 52| = 8
|9x + 55| = 46
|1x - 45| = 32
|-18x - 30| = 24
|-19x - 427| = 47
|7x + 0| = 49
|-7x + 130| = 4
|-19x - 347| = 24
|19x + 264| = 40
|8x + 119| = 41
|13x + 66| = 38
|-12x + 116| = 4
|-1x + 5| = 5
|14x - 276| = 10
|-19x - 75| = 1
|-20x + 262| = 42
|-10x + 44| = 4
|18x + 152| = 8
|-19x + 273| = 31
|8x - 51| = 21
|-14x + 219| = 47
|-20x - 243| = 3
|-16x - 78| = 14
|-4x - 40| = 36
|-4x - 108| = 48
|-5x - 8| = 47
|20x - 207| = 13
|-18x - 197| = 37
|7x - 100| = 44
|-12x + 109| = 11
|-9x + 193| = 49
|-20x - 210| = 50
|19x - 257| = 29
|10x + 13| = 27
|-1x + 57| = 41
|-12x + 114| = 6
|18x + 148| = 32
|-9x - 113| = 14
|-13x + 243| = 17
|-5x + 20| = 20
|13x - 153| = 16
|-3x + 50| = 20
|20x - 326| = 26
|15x - 31| = 1
|-20x - 237| = 37
|-2x + 7| = 33
|-14x - 243| = 47
|10x + 142| = 22
|-20x + 343| = 3
|3x - 6| = 9
|15x + 197| = 17
|-16x + 28| = 20
|14x + 132| = 34
|15x - 65| = 35
|-6x + 143| = 29
|5x + 107| = 17
|15x + 2| = 13
|-4x - 81| = 13
|-18x - 279| = 9
|-5x + 53| = 2
|-5x - 76| = 4
|-13x + 164| = 31
|-18x - 18| = 18
|2x - 70| = 38
|-13x + 173| = 4
|-16x - 65| = 31
|3x - 44| = 29
|-8x - 152| = 8
|-13x - 132| = 15
|-16x + 228| = 44
|-5x + 68| = 27
|-12x + 130| = 34
|-20x + 375| = 5
|-8x + 115| = 37
|-2x + 38| = 0
|-10x - 118| = 28
|9x - 109| = 46
|-6x + 60| = 36
|-10x + 183| = 7
|20x - 447| = 47
|-12x - 11| = 1
|-14x - 200| = 18
|9x + 190| = 19
|-20x - 290| = 50
|-7x + 10| = 4
|8x + 166| = 22
|5x + 6| = 41
|1x - 27| = 12
|-13x + 50| = 50
|-14x - 172| = 4
|20x + 328| = 28
|19x - 328| = 33
|4x + 49| = 27
|-17x + 388| = 48
|-3x + 50| = 7
|11x - 33| = 0
|9x - 44| = 44
|3x - 34| = 17
|-14x + 126| = 0
|4x - 27| = 17
|18x + 219| = 3
|6x + 119| = 11
|6x + 11| = 29
|-7x - 124| = 5
|14x - 79| = 33
|5x + 113| = 23
|6x - 79| = 49
|-10x - 218| = 38
|9x - 116| = 26
|-5x + 98| = 43
|-5x + 33| = 18
|3x + 64| = 25
|1x + 33| = 41
|-4x + 30| = 38
|4x + 110| = 46
|17x - 301| = 22
|-6x + 110| = 8
|-13x + 260| = 0
|16x + 238| = 34
|-13x + 174| = 31
|-16x + 19| = 35
|-19x - 86| = 28
|7x - 49| = 0
|18x + 353| = 29
|-8x + 43| = 3
|5x - 110| = 45
|-14x - 65| = 19
|-9x - 113| = 13
|16x + 310| = 38
|-5x - 33| = 17
|-7x - 44| = 40
|-19x - 315| = 27
|16x + 157| = 29
|-9x + 50| = 23
|-1x - 51| = 45
|20x + 131| = 49
|-16x + 111| = 49
|-14x - 188| = 48
|19x + 201| = 46
|-9x + 93| = 12
|-17x + 139| = 3
|15x + 267| = 3
|20x + 27| = 13
|3x + 61| = 25
|-2x - 13| = 37
|-14x + 39| = 17
|15x + 22| = 37
|-2x - 49| = 33
|-1x - 1| = 17
|7x - 94| = 18
|11x - 192| = 17
|-1x - 31| = 36
|6x - 130| = 10
|-13x + 20| = 19
|-19x - 72| = 34
|5x + 50| = 0
|11x - 248| = 50
|18x - 60| = 6
|19x - 304| = 19
|-20x + 364| = 44
|11x + 128| = 37
|-15x - 132| = 3
|-12x + 119| = 1
|4x + 38| = 14
|5x - 52| = 43
|-4x + 99| = 23
|13x + 160| = 30
|-10x - 161| = 29
|3x + 36| = 3
|8x + 138| = 2
|-1x + 20| = 33
|13x + 278| = 18
|-3x - 12| = 21
|-17x + 248| = 10
|-2x + 81| = 45
|-12x - 60| = 12
|-12x + 228| = 0
|16x - 51| = 19
|-17x - 135| = 35
|-2x - 5| = 27
|7x - 129| = 24
|-12x + 67| = 5
|-13x + 175| = 19
|-5x - 11| = 1
|-11x + 133| = 10
|17x + 222| = 50
|-17x - 299| = 7
|-5x + 5| = 20
|-12x - 256| = 16
|-8x - 66| = 6
|4x + 88| = 8
|-3x + 0| = 12
|-12x + 37| = 1
|6x - 57| = 33
|8x + 90| = 6
|11x + 101| = 35
|16x + 115| = 19
|9x - 48| = 3
|-7x - 147| = 7
|-13x + 213| = 21
|-1x - 19| = 0
|-13x + 151| = 34
|-13x - 117| = 0
|-16x - 245| = 11
|18x - 295| = 25
|-18x - 213| = 21
|-15x + 179| = 14
|-13x - 179| = 36
|10x - 19| = 31
|1x - 26| = 14
|-14x + 35| = 49
|6x - 11| = 43
|5x + 40| = 20
|-16x - 140| = 4
|17x + 152| = 16
|20x - 390| = 10
|8x + 112| = 8
|2x - 45| = 5
|20x + 7| = 7
|1x + 24| = 30
|9x - 97| = 34
|-19x + 210| = 39
|-1x + 3| = 2
|-4x - 60| = 4
|-8x - 179| = 19
|-7x - 13| = 41
|-19x - 329| = 6
|-18x + 360| = 36
|-9x - 33| = 48
|19x + 359| = 17
|-17x + 310| = 4
|20x - 225| = 25
|-3x - 39| = 9
|-11x + 33| = 0
|3x + 31| = 43
|-4x + 29| = 47
|-9x - 135| = 0
|-5x - 52| = 22
|-18x - 177| = 15
|-5x - 45| = 20
|1x - 26| = 8
|19x - 73| = 3
|-5x + 63| = 38
|-13x - 163| = 33
|2x - 21| = 23
|-1x - 13| = 28
|-3x - 1| = 29
|17x + 128| = 25
|13x - 118| = 38
|-4x - 117| = 45
|12x + 207| = 9
|-18x - 20| = 2
|2x + 14| = 38
|-4x + 5| = 49
|4x + 44| = 4
|19x - 324| = 39
|-20x - 434| = 34
|13x + 203| = 18
|16x + 105| = 41
|-8x + 43| = 43
|-5x - 45| = 10
|6x - 91| = 31
|-1x - 21| = 36
|14x + 29| = 43
|17x - 242| = 38
|3x - 91| = 34
|4x + 35| = 15
|12x - 17| = 19
|1x - 53| = 40
|4x - 86| = 30
|9x + 90| = 27
|-16x + 141| = 29
|5x + 80| = 0
|17x - 201| = 31
|19x + 47| = 48
|8x - 196| = 44
|16x - 31| = 17
|12x - 135| = 21
|19x + 400| = 39
|18x - 297| = 27
|-19x - 156| = 42
|2x + 77| = 41
|7x + 104| = 27
|2x - 5| = 27
|19x + 341| = 37
|-7x + 41| = 29
|2x - 50| = 28
|15x - 30| = 45
|8x + 94| = 6
|11x + 75| = 2
|-20x + 86| = 6
|-9x - 75| = 21
|-15x + 295| = 40
|9x + 53| = 37
|15x - 166| = 44
|-2x + 83| = 49
|-10x + 47| = 37
|12x + 5| = 29
|12x - 94| = 50
|6x + 41| = 47
|-9x + 134| = 44
|-1x + 16| = 7
|15x - 135| = 15
|12x + 250| = 46
|-10x - 10| = 20
|-16x - 278| = 10
|-13x - 213| = 5
|2x + 3| = 37
|7x - 82| = 40
|3x + 48| = 42
|13x - 165| = 30
|-2x + 55| = 37
|10x + 140| = 30
|13x - 221| = 0
|5x - 59| = 14
|-19x + 326| = 3
|17x - 41| = 44
|-2x + 17| = 23
|6x + 117| = 3
|-14x - 164| = 46
|4x + 61| = 37
|10x + 152| = 22
|-2x - 6| = 6
|-18x + 21| = 33
|18x + 166| = 50
|12x - 52| = 8
|10x + 88| = 2
|-8x - 90| = 18
|-4x - 82| = 30
|19x - 87| = 27
|18x + 234| = 18
|-11x + 74| = 3
|-19x - 105| = 10
|12x + 94| = 10
|-3x + 24| = 39
|-8x + 21| = 29
|7x - 12| = 9
|-5x + 38| = 12
|20x - 71| = 9
|-11x - 56| = 23
|-15x + 287| = 32
|-7x - 91| = 49
|18x + 178| = 38
|3x + 32| = 22
|-12x + 204| = 0
|-2x - 52| = 34
|-7x + 3| = 11
|18x + 136| = 44
|4x - 111| = 43
|19x + 105| = 28
|6x + 145| = 25
|18x - 108| = 0
|-2x - 28| = 16
|-4x - 23| = 1
|-7x - 87| = 46
|-3x - 44| = 44
|-8x + 176| = 40
|6x - 41| = 19
|-8x + 61| = 43
|20x - 188| = 32
|8x - 89| = 23
|12x - 82| = 22
|-19x + 12| = 26
|-3x - 30| = 27
|12x - 24| = 36
|-12x + 226| = 2
|1x + 39| = 34
|15x + 74| = 44
|5x + 73| = 22
|-12x + 116| = 44
|-11x - 140| = 19
|-4x + 40| = 12
|-5x - 66| = 41
|-14x + 151| = 17
|16x + 240| = 0
|2x + 5| = 45
|14x - 70| = 14
|10x - 139| = 11
|18x - 79| = 11
|-4x - 41| = 9
|13x + 164| = 5
|7x - 33| = 19
|-9x - 83| = 25
|-16x + 46| = 30
|-20x + 241| = 41
|3x + 79| = 49
|-17x + 249| = 6
|-16x - 33| = 1
|-2x + 42| = 4
|5x + 28| = 3
|17x - 356| = 16
|-10x - 106| = 46
|6x - 86| = 28
|1x + 26| = 17
|-1x - 49| = 38
|-1x - 26| = 40
|10x + 36| = 36
|-16x - 274| = 30
|-20x + 63| = 17
|16x - 120| = 24
|-15x - 45| = 0
|-13x + 257| = 23
|5x - 10| = 35
|-2x + 46| = 30
|12x - 122| = 50
|10x + 87| = 13
|-20x + 280| = 0
|-19x - 43| = 5
|-10x - 143| = 17
|-6x + 66| = 18
|13x - 256| = 48
|12x - 113| = 29
|-16x - 105| = 7
|1x - 10| = 4
|-18x + 117| = 9
|-8x + 118| = 2
|15x - 109| = 4
|4x + 45| = 17
|-3x + 2| = 41
|-5x - 23| = 48
|-12x + 0| = 36
|8x + 102| = 22
|3x + 57| = 48
|14x + 104| = 22
|-9x + 189| = 36
|-7x + 124| = 12
|20x + 329| = 11
|-2x + 15| = 47
|17x - 366| = 43
|18x - 368| = 26
|-16x - 333| = 45
|-5x + 120| = 45
|3x - 15| = 39
|-4x + 53| = 9
|20x - 245| = 25
|16x + 214| = 10
|13x + 215| = 46
|2x - 50| = 20
|-10x + 56| = 46
|4x - 11| = 19
|3x - 25| = 13
|-13x + 108| = 30
|12x + 159| = 33
|10x - 35| = 35
|15x + 27| = 48
|-1x + 51| = 31
|14x + 13| = 27
|12x + 92| = 40
|-9x + 4| = 14
|-11x + 178| = 35
|-11x - 231| = 22
|17x - 159| = 40
|-13x + 82| = 48
|-3x - 15| = 24
|-3x + 37| = 1
|-11x - 246| = 26
|7x + 12| = 19
|19x + 3| = 3
|16x - 203| = 27
|-13x - 96| = 47
|14x - 17| = 17
|-14x + 153| = 15
|17x + 126| = 10
|-5x - 75| = 35
|-18x + 289| = 19
|13x - 60| = 8
|15x + 228| = 42
|-5x + 59| = 6
|-13x - 217| = 30
|-7x + 151| = 25
|-19x + 340| = 40
|13x - 109| = 31
|-11x - 30| = 14
|14x - 45| = 31
|-3x + 5| = 20
|13x - 278| = 18
|-13x - 61| = 48
|4x - 11| = 13
|-11x - 169| = 15
|-10x - 114| = 16
|3x + 14| = 34
|-6x + 74| = 26
|-17x + 166| = 4
|18x - 204| = 24
|-7x - 176| = 50
|-17x + 55| = 13
|4x - 40| = 28
|14x + 56| = 42
|3x - 46| = 37
|-5x + 79| = 9
|-15x + 245| = 35
|3x + 30| = 30
|4x + 54| = 22
|-4x + 22| = 18
|6x + 39| = 9
|2x - 8| = 38
|10x + 50| = 20
|10x + 44| = 16
|15x - 196| = 31
|-19x + 409| = 29
|-9x + 38| = 7
|2x + 27| = 13
|19x - 307| = 22
|-12x - 159| = 39
|-1x - 14| = 6
|-2x - 39| = 37
|-5x - 48| = 42
|-8x - 56| = 0
|19x + 29| = 29
|20x - 116| = 16
|-12x - 208| = 40
|-5x - 126| = 26
|7x + 95| = 11
|11x - 54| = 32
